PRE	ACT
17	35
23	42
30	47
36	53
42	56
46	58
49	50
49	54
50	51
45	54
49	60
55	62
61	67
67	72
73	54
70	36
61	28
51	42
48	38
45	38
41	21
36	21
32	20
36	24
34	24
27	9
19	10
11	5
4	10
0	5
-3	4
-5	4
-6	4
-6	3
-11	5
-9	8
-4	9
2	5
6	3
9	7
11	9
11	12
11	14
11	15
12	13
13	16
14	19
16	33
21	41
27	46
33	47
37	47
41	50
45	50
46	48
48	57
53	60
57	54
60	57
64	64
68	67
71	76
74	79
77	84
78	82
78	83
77	84
76	95
79	88
83	96
88	97
93	95
96	90
95	89
94	88
92	84
88	82
84	85
92	83
90	85
84	83
77	84
73	71
67	24
50	11
35	11
23	6
14	8
8	7
4	6
0	6
-1	5
-3	5
-4	7
-4	6
-5	5
-5	14
-9	7
-8	7
-4	5
1	5
4	4
7	5
9	3
10	4
11	6
11	16
13	8
12	8
12	6
12	13
11	19
13	16
16	15
17	18
19	21
21	24
23	32
31	40
37	33
39	25
46	30
45	30
40	37
38	18
26	14
17	10
11	12
7	7
4	8
2	4
0	3
-1	6
-1	6
-1	16
0	28
3	38
11	45
20	57
31	59
42	60
49	66
54	70
57	75
60	73
61	75
61	76
61	81
63	58
59	37
51	38
46	44
45	46
45	48
45	73
52	64
54	47
50	53
49	51
48	51
48	75
54	99
64	120
77	126
88	121
94	131
101	137
109	113
109	109
113	114
116	117
117	107
114	101
111	104
109	118
111	121
117	126
120	140
123	159
130	173
140	172
145	156
144	170
148	188
157	181
161	194
166	194
171	200
176	208
182	228
194	248
211	243
213	218
203	183
185	143
164	139
147	91
118	48
85	25
57	16
50	15
39	12
28	12
17	14
10	9
3	5
-1	5
-3	9
-3	8
-2	3
-3	5
-4	3
-5	5
-5	3
-6	3
-6	3
-7	4
-7	3
-7	5
-7	4
-7	3
-7	6
-6	5
-5	4
-5	6
-4	5
-4	4
-5	4
-4	7
-4	8
-2	5
-2	5
-1	4
-1	4
0	3
0	4
0	3
0	4
0	6
1	5
1	4
2	10
3	3
3	3
2	5
2	4
1	12
4	36
16	23
19	21
20	24
20	16
18	14
14	20
13	21
14	20
15	16
17	21
20	25
23	26
27	25
29	29
31	34
32	40
34	46
37	48
38	52
40	45
44	48
49	38
46	27
41	26
37	25
33	18
26	14
19	9
12	10
7	9
5	14
4	10
4	9
4	20
7	20
10	10
8	9
6	4
3	6
2	7
0	6
0	7
-1	5
-1	3
-3	3
-3	8
-2	6
-1	3
-1	8
0	14
0	12
0	21
0	3
-1	7
-3	4
-4	7
-5	8
-4	9
-2	9
-1	8
0	7
0	8
1	9
1	14
5	16
8	18
13	20
16	20
18	35
22	33
21	10
15	22
13	24
13	36
18	34
22	35
27	35
34	37
37	33
36	28
33	27
32	27
28	18
23	20
19	12
15	32
16	17
16	25
20	25
24	26
26	35
31	45
36	42
36	26
30	30
28	29
28	31
29	44
33	45
36	48
39	52
41	32
37	19
28	8
18	9
12	6
7	8
4	6
2	5
1	5
2	8
4	8
5	8
3	6
0	6
-2	7
-4	5
-5	9
-5	6
-5	8
-5	8
-4	8
-4	10
-2	6
-6	7
-6	4
-3	12
2	9
7	8
10	10
13	9
14	7
12	5
10	3
7	7
5	6
5	7
14	6
11	7
6	8
2	6
-1	7
-4	3
-11	5
-10	9
-4	8
2	10
8	11
13	8
14	7
14	5
13	5
12	3
11	4
9	3
9	3
8	3
8	13
10	5
10	6
10	8
10	10
10	20
12	18
13	23
15	20
15	14
15	19
16	21
17	25
21	26
25	29
30	32
32	28
33	32
34	41
34	26
33	26
33	26
33	29
36	35
42	27
39	21
36	21
34	24
32	25
31	39
32	35
33	31
33	33
34	45
36	35
37	36
37	39
39	38
39	40
39	39
39	41
40	48
44	50
49	54
60	58
70	59
75	64
78	76
82	86
88	86
91	102
95	97
99	90
102	81
98	68
90	72
83	73
80	78
78	73
77	83
83	92
93	84
94	88
91	94
89	97
94	95
99	99
105	85
102	90
108	70
100	60
88	33
69	13
48	11
32	8
20	7
11	8
4	13
1	8
-1	7
-2	11
-2	10
-1	8
-1	12
0	9
1	8
0	5
0	8
-1	7
-1	7
-1	6
-2	7
-3	6
-3	8
-3	7
-2	7
-1	7
0	5
-1	3
-2	6
-3	6
-4	10
-3	9
-3	10
-2	6
-2	7
0	6
0	7
1	4
2	8
3	11
5	11
7	9
8	8
8	7
8	11
8	20
13	18
15	18
17	19
20	17
21	17
21	19
23	33
27	23
25	18
21	18
18	18
15	22
15	31
19	38
23	29
26	35
29	38
32	38
33	38
34	37
33	14
27	12
22	10
18	12
15	11
13	12
11	9
8	22
8	8
6	6
3	7
1	8
0	8
-1	9
-2	10
-2	4
-2	4
0	9
1	11
2	9
4	13
4	8
3	6
1	7
0	5
0	8
0	9
1	8
1	6
0	4
0	9
1	11
5	34
14	26
20	20
23	28
25	40
31	51
37	48
41	46
43	54
47	63
53	67
58	64
62	78
67	63
66	60
65	71
68	69
68	58
64	54
62	47
56	7
40	11
29	14
20	10
14	5
9	15
6	12
3	5
0	7
0	5
-1	6
-1	8
0	7
1	19
6	18
11	27
16	25
19	28
21	31
24	29
25	36
32	45
39	38
40	36
39	30
36	26
31	16
25	20
18	30
18	25
21	29
27	32
30	46
38	64
49	95
65	95
77	107
90	121
104	108
115	95
129	83
124	77
112	80
103	75
93	57
81	64
75	60
69	57
64	43
58	36
49	18
36	8
25	9
16	8
9	9
5	11
3	11
-2	13
0	18
16	24
26	13
25	11
20	15
17	16
8	14
8	14
11	10
12	12
14	12
15	10
15	15
18	15
19	20
22	24
28	21
32	60
54	60
67	42
66	41
64	42
63	45
63	46
64	41
62	42
59	60
67	56
70	48
65	38
57	33
50	27
41	19
31	20
25	22
20	19
16	17
12	16
9	12
6	7
3	8
1	6
0	6
0	6
-3	7
-4	8
-4	5
-4	6
-3	4
-3	8
-1	7
-1	10
0	6
0	5
0	7
0	6
0	8
1	7
0	6
0	6
0	7
4	10
8	18
15	19
19	33
25	40
30	48
34	48
38	45
39	41
39	43
40	46
42	45
43	50
46	51
49	47
51	39
49	34
45	26
40	14
31	8
23	4
18	5
15	6
16	5
17	4
17	9
17	12
18	18
22	20
24	17
25	18
24	19
22	23
22	32
25	34
29	38
35	39
40	50
47	51
52	48
54	48
54	50
53	48
51	52
53	48
54	47
54	48
56	57
60	60
64	83
69	43
68	52
65	73
72	100
79	94
83	90
86	94
89	96
91	114
95	116
96	116
107	114
105	113
99	99
89	97
82	56
69	57
59	60
47	76
52	114
77	112
91	90
91	94
91	99
95	114
104	116
108	126
115	134
122	147
129	154
136	163
143	158
144	163
145	161
144	166
144	170
145	169
150	161
152	166
154	153
149	104
131	102
119	126
117	131
117	111
109	121
106	153
116	227
140	246
159	238
170	227
176	226
181	216
182	212
182	214
183	214
183	215
183	218
183	221
184	222
184	224
185	228
185	234
189	229
189	225
187	231
189	229
189	221
183	166
164	114
138	35
100	12
69	19
47	16
31	17
22	20
16	15
11	18
9	17
8	15
8	15
7	7
6	6
5	9
4	8
4	8
4	8
4	14
7	12
10	13
13	18
16	20
20	25
23	23
24	41
27	47
33	38
34	42
36	37
36	42
38	48
43	67
51	59
54	60
55	74
57	63
56	37
50	41
49	43
50	33
48	36
46	17
38	16
31	14
25	13
22	10
20	11
18	11
16	11
14	14
14	13
15	19
19	36
28	58
46	72
68	77
90	66
98	57
94	43
78	31
64	31
52	34
45	41
44	45
46	57
56	66
69	50
67	31
59	30
52	26
46	18
37	16
30	25
28	21
35	15
30	11
17	15
12	10
11	14
14	10
15	6
23	4
20	3
15	4
8	7
2	10
0	6
-2	7
-3	6
-2	9
-2	12
0	9
0	8
0	10
1	10
1	13
3	12
2	12
-2	10
-1	4
3	14
10	17
16	16
20	16
29	19
29	19
26	16
19	10
13	11
8	10
3	10
0	9
-5	9
-5	7
0	6
4	10
8	9
13	12
16	12
16	12
16	7
14	8
14	11
15	13
17	15
18	25
28	20
29	24
28	29
27	23
23	18
18	16
14	19
12	19
6	23
11	24
16	17
27	19
32	38
35	43
38	41
39	21
32	8
23	13
15	11
11	7
7	8
5	5
3	7
1	8
1	7
0	11
-4	9
-3	12
2	12
7	9
11	8
12	6
13	8
14	5
15	14
16	18
19	26
23	29
26	41
30	48
35	60
42	54
59	68
76	56
80	57
82	56
84	53
81	47
74	42
69	44
66	53
65	48
63	44
56	34
46	20
36	19
27	20
21	26
19	25
17	20
14	20
12	18
11	13
9	13
7	15
6	24
8	16
7	17
6	20
6	26
8	22
9	19
8	15
8	14
7	10
4	9
3	11
4	12
6	10
6	8
5	10
2	4
0	7
-2	7
-3	8
-3	5
-3	5
-3	5
-2	6
-1	4
0	3
0	4
1	3
2	6
3	7
4	7
5	8
7	11
6	8
3	7
0	9
-1	7
-2	14
-2	4
-4	4
-5	3
-6	7
-6	3
-6	3
-6	3
-6	6
-6	5
-6	4
-6	6
-6	3
-7	4
-7	3
-8	4
-8	4
-7	5
-6	6
-6	6
-5	5
-6	9
-6	7
-6	8
-6	8
-6	4
-7	3
-7	6
-6	6
-6	6
-6	7
-5	6
-6	9
-5	4
-5	6
-5	5
-5	3
-5	6
-5	7
-5	6
-4	8
-2	6
-1	6
-1	11
0	6
0	8
0	5
-1	5
-1	7
-1	8
0	8
1	12
2	20
7	29
14	30
21	30
28	40
33	60
40	66
45	63
49	21
43	19
38	22
33	19
30	24
32	17
29	26
30	36
34	44
36	42
38	41
39	45
41	48
44	54
47	111
63	119
78	123
90	129
98	132
101	126
104	94
98	81
91	76
85	65
74	42
61	28
51	31
46	42
51	48
58	38
59	30
53	31
47	36
44	45
45	47
46	53
49	81
60	153
85	190
116	194
137	200
153	197
163	212
174	201
178	193
178	198
176	198
175	201
177	193
177	173
171	176
165	174
161	178
167	190
168	191
163	184
155	190
147	114
124	60
95	44
72	35
56	29
43	121
53	97
56	89
57	72
54	46
48	24
39	14
29	10
21	11
15	13
12	11
2	9
1	15
6	14
12	9
16	20
21	17
23	22
26	29
28	25
31	26
36	31
42	39
48	54
56	54
63	59
69	62
73	48
80	63
85	71
87	68
82	57
73	48
63	50
56	40
52	45
51	45
51	44
52	38
51	40
49	38
44	32
41	26
40	25
41	29
42	30
44	36
46	48
51	42
54	54
59	59
64	65
70	66
73	69
77	54
77	54
74	65
75	66
75	65
74	64
77	65
83	63
88	64
91	71
96	77
100	73
100	69
105	43
89	18
63	7
41	10
27	6
16	6
9	6
5	12
4	6
2	10
3	13
3	13
5	14
6	16
8	9
8	9
9	13
9	15
10	11
8	12
8	19
14	75
24	21
26	35
30	64
40	62
49	74
58	86
68	118
84	135
101	144
116	138
124	137
128	141
134	136
140	112
143	101
146	96
139	100
138	92
130	92
121	79
109	73
98	67
87	68
83	54
74	50
65	37
54	15
42	20
33	33
30	71
36	96
47	141
67	155
85	170
102	168
115	90
105	23
80	19
60	23
47	30
42	32
39	19
30	10
14	14
11	13
14	11
17	16
21	28
28	54
45	63
56	70
64	67
66	51
63	39
56	28
50	24
44	19
40	23
37	27
35	31
37	23
36	19
34	24
35	29
42	35
50	41
60	41
67	35
70	34
68	29
64	32
64	34
64	36
65	39
66	43
67	46
66	41
62	39
59	40
59	41
59	41
59	39
57	41
56	41
56	41
58	44
59	50
61	51
62	48
62	54
62	58
64	50
64	29
56	14
43	13
32	13
38	12
32	8
21	5
12	10
5	6
1	8
0	8
-2	7
-3	5
-4	5
-5	8
-5	10
-5	4
-4	7
-4	5
-4	6
-3	6
-3	5
-3	6
-3	7
-2	5
-2	5
-2	5
-1	3
-1	7
-1	7
-1	8
0	7
0	6
0	7
0	7
0	10
1	11
3	32
9	37
16	26
17	5
14	6
11	5
8	5
6	3
4	5
2	6
2	5
2	11
4	10
5	8
4	5
3	3
2	8
2	7
2	8
2	15
4	28
11	33
17	17
19	16
17	18
16	14
18	18
22	10
21	10
20	11
18	8
15	5
13	7
13	7
13	5
13	7
14	8
14	8
15	9
14	3
15	13
15	7
15	7
15	6
15	6
15	7
14	6
14	5
14	13
16	9
17	9
17	5
16	5
16	6
16	6
17	8
16	9
16	9
16	10
16	48
26	60
36	53
42	40
43	42
44	38
43	40
43	40
43	42
43	60
51	77
60	71
63	68
64	71
73	91
84	92
92	103
102	92
106	66
97	63
89	60
84	56
78	60
74	60
71	68
72	81
75	86
79	89
82	89
84	95
87	97
89	92
91	97
94	105
98	97
107	59
92	6
65	8
44	7
27	7
16	10
9	6
4	8
0	9
0	6
-1	13
-1	9
-1	4
-2	5
-2	4
0	9
2	9
4	6
5	9
7	10
10	5
13	10
17	4
16	7
14	7
13	8
13	8
12	7
11	6
10	8
9	7
9	5
7	7
5	5
4	8
2	9
1	10
0	5
-1	10
-1	9
-1	4
0	9
1	10
3	7
4	12
7	12
9	13
10	13
12	6
11	5
9	6
8	8
7	10
7	10
8	11
9	10
8	8
7	8
4	8
2	11
2	9
1	15
2	10
2	10
2	10
2	12
3	10
2	8
2	6
2	6
3	8
3	6
2	6
2	9
3	9
5	13
7	15
9	17
11	18
13	15
14	14
13	14
12	13
11	15
11	21
13	19
15	19
16	20
18	22
21	29
24	38
29	48
34	50
37	48
39	47
41	46
47	60
57	52
60	38
53	30
44	29
37	26
32	28
31	38
34	43
37	48
39	42
36	32
33	33
30	29
27	27
25	24
22	16
17	14
11	9
7	6
2	6
0	9
-2	10
-2	8
-4	8
-4	8
-4	7
-4	7
-4	5
-5	6
-4	6
-5	7
-4	7
-4	7
-3	13
-3	11
-3	7
-3	5
-3	9
-2	8
-2	11
-2	12
-1	13
1	12
2	13
5	12
6	13
6	9
4	11
4	10
5	8
5	7
6	10
6	8
5	8
3	9
2	11
2	5
1	5
0	4
-1	8
-2	10
-3	6
-4	7
-4	4
-4	7
-4	4
-5	5
-5	4
-5	5
-5	5
-5	7
-3	7
-1	9
0	9
2	6
3	9
4	19
7	23
11	28
15	25
18	32
23	30
26	30
26	30
24	28
22	25
20	26
18	28
18	23
17	20
14	19
13	8
9	5
5	3
1	3
-1	4
-2	4
-3	6
-3	7
-4	7
-4	5
-4	5
-4	4
-4	7
-4	9
-4	8
-3	7
-4	8
-5	8
-4	8
-4	7
-3	5
-7	9
-4	10
2	8
9	5
13	5
14	7
14	7
13	11
12	7
11	7
12	7
14	11
15	11
18	18
27	34
40	38
47	33
46	50
48	72
54	80
59	71
60	76
64	89
73	90
80	82
82	77
82	85
84	92
87	84
88	94
92	88
88	92
84	92
81	74
72	86
68	58
59	19
41	11
28	4
17	6
9	8
5	9
2	8
0	8
-2	9
-3	8
-3	6
-3	10
-1	11
0	6
1	8
2	8
-3	11
-2	10
10	10
13	6
12	9
11	9
11	12
12	14
16	60
30	76
43	94
57	117
65	133
79	130
88	33
76	50
69	53
65	57
64	60
64	58
63	90
72	106
82	105
94	103
102	101
105	97
107	90
103	91
98	77
99	77
93	74
84	75
79	74
73	59
62	36
48	17
34	14
24	6
14	9
9	13
7	16
9	9
8	11
7	10
6	10
4	11
2	11
0	14
0	9
0	8
0	11
1	9
1	9
1	11
1	14
2	11
3	13
2	10
0	5
-2	5
-3	10
-3	12
-3	11
-2	9
-2	7
-2	4
-1	8
0	7
1	9
2	8
4	7
6	9
7	9
8	13
8	9
7	10
6	11
5	10
4	6
2	7
1	8
0	9
0	15
0	12
0	7
0	8
-1	7
0	11
0	14
2	8
2	8
4	11
7	14
11	15
17	13
19	12
18	12
18	9
17	9
16	13
15	6
15	6
14	6
12	4
10	6
6	7
2	4
0	10
-1	7
-3	7
-2	9
0	14
2	14
5	12
11	13
15	19
17	18
19	28
23	25
25	27
26	29
26	33
27	22
25	22
14	18
11	14
14	17
17	22
24	40
33	50
42	70
52	79
61	82
66	82
70	90
76	90
79	85
80	102
90	102
93	117
100	130
117	121
120	114
119	116
116	84
97	44
73	18
53	7
38	3
26	4
19	3
13	5
10	5
19	9
17	10
12	10
6	11
2	6
0	12
-1	12
-9	11
-9	8
-4	12
4	17
13	11
15	10
14	8
13	8
13	11
12	6
11	7
11	5
11	6
11	7
10	8
11	6
13	13
18	12
17	15
19	26
22	37
25	50
30	52
34	52
39	63
47	78
55	109
66	195
92	278
126	183
134	178
141	226
152	298
173	263
177	214
168	145
149	126
131	78
107	34
79	17
56	16
38	14
25	17
15	12
8	11
4	11
2	7
0	6
-6	7
-4	13
3	17
10	18
15	29
22	42
29	54
38	130
56	84
62	71
60	73
60	60
60	65
62	65
63	72
65	66
66	70
66	74
71	71
74	91
77	87
80	82
81	83
82	82
82	95
82	101
84	104
86	109
89	112
91	114
93	117
97	121
106	126
113	123
116	116
114	108
111	108
108	118
111	116
112	123
120	125
126	123
120	114
114	121
111	126
121	118
117	117
125	114
129	118
123	121
123	124
124	129
126	153
132	132
127	106
118	102
113	95
101	92
95	102
102	104
101	91
97	87
97	114
114	129
135	132
146	139
155	154
166	167
168	174
170	182
174	181
174	184
173	190
173	190
171	142
174	138
152	145
143	163
141	154
136	157
132	156
132	121
144	86
126	20
91	16
65	12
60	7
45	12
33	8
20	8
12	12
7	11
2	10
0	16
0	12
0	10
1	12
2	17
4	41
13	60
22	54
32	64
36	48
35	38
34	34
31	23
25	13
19	15
15	29
19	65
30	47
30	46
35	54
40	42
39	37
38	35
36	32
33	34
31	31
27	28
24	12
19	8
14	7
10	6
8	3
6	11
5	5
5	9
4	10
5	10
5	9
5	7
5	10
6	11
8	10
10	13
12	18
14	20
15	12
13	12
11	19
12	27
13	20
12	18
12	21
13	17
14	16
15	16
14	18
15	27
20	33
25	27
24	20
20	12
7	24
18	12
21	14
19	44
18	54
24	40
26	33
37	9
31	12
15	9
5	5
4	4
5	44
20	71
36	66
47	42
54	37
57	33
59	29
58	25
56	23
54	22
53	16
47	19
42	18
37	16
32	16
27	17
23	21
21	25
21	25
22	28
23	32
26	28
27	23
27	19
25	19
23	17
20	19
19	21
20	21
21	23
23	30
26	32
28	27
28	27
30	38
38	39
42	39
41	43
42	52
44	60
47	72
50	78
54	91
60	92
66	101
73	103
78	100
82	97
86	94
90	100
92	102
96	95
98	91
95	92
91	103
94	106
95	105
97	112
100	132
116	140
130	137
128	135
126	135
123	142
124	139
124	134
123	137
133	136
129	142
128	146
128	161
142	176
156	183
168	190
174	201
175	185
173	240
177	238
187	236
201	248
208	178
185	150
171	156
171	163
193	166
217	170
234	170
248	158
226	157
213	152
202	141
172	139
151	134
137	120
122	92
108	97
98	92
90	88
83	92
79	97
77	105
85	107
90	103
95	100
92	106
93	109
95	111
95	114
95	121
96	130
98	124
97	118
94	123
92	123
102	114
100	54
79	12
61	8
44	9
30	3
19	11
12	3
0	4
3	7
4	6
3	8
2	7
3	9
4	14
5	11
4	4
2	6
0	6
0	11
0	20
4	25
9	33
15	32
21	34
25	30
27	35
28	41
30	54
35	69
43	71
50	65
53	60
53	62
54	59
55	53
54	54
54	50
57	58
59	62
61	78
65	83
69	89
72	82
74	77
75	83
75	95
78	92
79	103
82	111
89	134
103	139
114	159
127	184
143	187
153	183
157	160
156	149
150	133
142	133
134	128
128	139
127	155
128	169
133	185
141	191
145	194
148	195
150	201
153	201
154	204
154	195
151	195
147	212
153	221
161	219
164	217
166	178
159	65
124	47
93	26
67	22
47	17
36	15
30	74
45	168
74	99
81	74
83	71
84	60
83	64
80	60
78	52
75	46
70	42
66	38
60	38
56	39
53	38
51	39
50	41
49	44
49	45
48	43
52	51
57	52
59	50
60	47
59	44
58	48
59	87
68	64
67	77
68	59
69	48
63	44
58	48
57	53
57	57
57	57
59	32
50	36
44	34
42	42
41	37
40	39
40	33
38	37
38	38
39	41
41	41
42	47
44	54
46	62
54	63
61	65
68	66
70	56
69	51
66	48
61	42
53	39
47	38
43	40
44	38
42	33
39	31
37	26
36	27
37	31
37	26
36	25
34	27
32	30
33	33
34	30
33	37
34	39
36	39
38	45
39	51
41	54
42	54
43	57
43	50
43	58
47	58
49	56
50	60
52	64
55	65
57	62
66	52
62	36
43	41
35	38
32	22
27	16
23	14
21	13
21	13
24	14
23	11
21	14
20	16
18	19
18	28
18	42
25	89
38	83
47	99
58	90
64	75
65	65
62	63
59	62
56	64
55	65
55	70
57	69
57	70
57	58
56	52
54	60
55	62
57	74
61	83
65	91
