PRE	ACT
4	3
5	7
7	10
8	4
6	8
7	7
7	6
6	3
6	7
7	5
7	3
6	4
7	6
8	7
8	5
7	5
8	4
8	10
14	11
12	10
12	13
14	9
12	11
11	5
8	8
9	4
7	11
12	10
11	5
9	13
12	13
15	14
14	14
17	5
11	13
16	8
11	9
11	11
13	14
16	16
19	16
21	24
26	28
29	33
34	32
34	34
35	33
34	30
34	42
43	46
43	38
36	36
32	31
29	35
32	32
32	36
36	37
37	32
35	43
42	50
49	60
59	66
63	70
70	91
89	101
103	103
103	102
103	119
122	119
117	128
123	123
117	125
113	120
108	118
107	94
83	79
66	75
69	68
64	65
61	65
59	52
48	45
43	42
40	36
36	59
57	54
52	40
39	34
36	39
43	47
52	54
55	53
55	58
61	60
62	60
63	63
68	75
79	75
77	81
78	74
69	72
66	67
60	69
63	88
85	97
89	113
101	114
95	104
80	46
34	15
12	5
10	6
10	10
11	48
30	39
29	4
9	7
5	8
6	6
5	7
5	8
7	5
7	4
8	3
8	12
10	6
8	9
9	10
8	8
5	8
7	8
6	8
6	3
6	4
6	8
7	6
8	6
8	9
7	10
7	11
7	7
4	10
9	9
14	13
17	16
18	19
20	13
16	13
15	17
19	18
21	13
15	12
14	11
14	17
17	26
24	41
36	50
41	50
43	50
45	52
47	53
52	56
56	66
67	76
77	78
78	77
74	80
79	83
80	85
79	84
74	73
63	60
52	54
48	54
49	60
54	69
64	76
70	96
93	114
112	129
130	136
140	133
126	126
118	114
102	114
111	131
132	133
136	125
116	125
120	128
119	142
138	145
137	155
152	156
147	155
145	153
139	151
139	148
136	137
121	139
126	137
124	150
139	145
137	142
132	148
141	161
158	163
163	158
158	159
163	157
155	171
177	163
156	163
157	187
184	198
193	188
179	188
182	184
171	178
166	174
161	173
158	174
157	172
154	184
157	185
146	70
45	29
26	32
30	25
26	21
22	11
17	10
15	4
10	8
11	11
11	6
9	9
11	7
7	11
13	12
11	8
6	5
6	6
7	6
9	7
11	8
9	5
9	8
12	14
18	22
25	22
23	23
25	27
29	21
23	22
26	27
30	31
35	32
37	33
36	33
36	38
40	36
38	41
42	41
42	42
42	44
41	50
47	51
47	45
43	47
43	43
40	44
43	46
45	46
45	40
41	57
53	60
61	64
65	64
68	69
76	66
72	74
78	81
81	75
74	76
68	84
75	36
24	5
11	4
8	5
11	5
9	6
9	10
11	7
10	3
8	4
8	3
9	5
8	6
9	4
9	5
9	6
9	3
8	4
8	6
7	4
7	5
6	4
6	5
7	3
5	3
5	6
8	5
3	6
3	4
2	4
4	3
6	3
7	3
7	10
10	9
12	15
16	9
15	19
20	25
25	29
29	23
26	26
27	24
26	21
26	27
30	32
34	36
37	41
42	62
62	63
60	48
43	50
44	47
42	43
39	37
35	41
38	43
41	37
36	37
36	42
41	44
42	50
49	60
58	57
57	63
61	67
64	67
67	73
75	71
69	71
70	76
76	89
89	92
90	91
84	87
84	80
76	71
63	39
36	17
18	18
21	18
22	8
14	4
12	5
12	7
13	5
14	7
13	3
11	8
13	6
13	6
11	4
9	3
8	5
8	8
9	6
8	3
6	4
8	4
8	3
4	4
7	3
4	3
6	4
7	7
8	6
8	4
7	7
10	9
11	5
11	6
11	6
11	3
10	10
13	9
14	12
16	15
20	18
22	20
24	21
23	26
28	28
27	26
20	6
6	10
8	8
6	10
7	13
10	11
12	6
9	7
8	9
10	9
11	11
14	7
15	11
18	13
18	14
18	16
19	24
24	22
23	26
25	30
27	37
34	46
42	47
43	46
44	54
52	59
55	62
57	53
50	48
45	60
56	70
69	74
72	74
72	74
70	69
66	62
59	56
55	59
55	60
60	82
84	95
95	91
87	81
74	75
65	71
69	72
64	70
61	69
60	65
53	65
51	54
43	29
23	10
11	8
10	10
12	8
12	10
12	8
12	5
10	6
9	4
8	7
9	7
9	6
8	3
7	5
7	5
7	3
6	5
7	6
7	7
8	7
7	6
6	4
5	5
6	8
8	9
12	4
9	3
7	6
8	12
13	26
21	41
31	43
36	63
52	99
81	87
73	66
58	72
61	67
57	69
60	82
70	91
80	92
83	94
84	102
93	100
93	91
71	75
59	68
51	72
55	70
60	63
54	54
48	66
58	77
63	72
64	71
61	70
61	77
66	88
79	88
79	92
83	97
92	92
91	128
131	133
120	126
115	125
113	118
104	109
93	109
95	109
97	103
91	97
87	96
85	97
89	92
85	91
86	86
80	59
50	47
41	46
39	60
54	124
111	136
128	138
128	121
112	129
122	134
125	128
124	121
122	137
138	134
127	149
137	65
65	53
52	94
89	87
88	114
112	154
148	157
155	164
160	162
152	173
159	167
146	166
148	177
168	91
66	21
25	10
17	10
17	8
16	13
17	10
13	7
9	7
10	7
9	8
10	8
10	10
10	9
11	8
9	7
10	5
6	7
7	5
8	6
10	3
10	7
10	3
8	3
8	3
9	3
10	6
10	6
10	3
7	4
8	4
7	5
7	6
9	3
7	3
8	3
9	4
10	4
11	5
11	9
13	7
12	6
11	5
10	6
12	6
13	9
13	10
13	7
13	6
10	5
10	4
9	4
5	4
6	3
5	4
6	5
7	4
7	3
8	5
11	4
10	6
9	3
11	7
11	13
15	8
11	12
13	12
14	12
16	12
18	13
18	17
21	32
31	35
36	42
41	47
46	53
52	56
55	58
58	50
51	54
57	51
53	54
57	60
64	62
64	67
66	72
73	54
52	36
34	28
30	42
44	38
39	38
36	21
25	21
26	20
24	24
25	24
18	9
9	10
8	5
7	10
6	5
5	4
4	4
4	4
5	3
6	5
4	8
4	9
6	5
2	3
3	7
7	9
11	12
15	14
18	15
20	13
16	16
18	19
22	33
32	41
39	46
45	47
45	47
46	50
49	50
50	48
48	57
58	60
60	54
56	57
59	64
64	67
67	76
75	79
79	84
82	82
80	83
84	84
83	95
92	88
87	96
90	97
93	95
91	90
81	89
82	88
80	84
76	82
73	85
80	83
76	85
73	83
71	84
70	71
55	24
21	11
13	11
13	6
11	8
12	7
11	6
10	6
9	5
8	5
8	7
7	6
7	5
6	14
12	7
5	7
4	5
4	5
3	4
2	5
3	3
3	4
5	6
8	16
14	8
11	8
11	6
9	13
13	19
22	16
20	15
18	18
19	21
20	24
21	32
26	40
31	33
25	25
22	30
29	30
26	37
33	18
13	14
9	10
8	12
9	7
7	8
7	4
5	3
5	6
9	6
10	16
21	28
28	38
34	45
41	57
51	59
52	60
53	66
58	70
62	75
68	73
67	75
69	76
71	81
74	58
53	37
35	38
37	44
45	46
49	48
46	73
69	64
55	47
41	53
44	51
45	51
48	75
69	99
91	120
115	126
123	121
115	131
126	137
136	113
108	109
110	114
108	117
109	107
99	101
93	104
96	118
111	121
117	126
118	140
132	159
157	173
172	172
165	156
145	170
167	188
189	181
175	194
194	194
189	200
194	208
204	228
229	248
248	243
204	218
176	183
159	143
122	139
120	91
67	48
36	25
16	16
12	15
16	12
11	12
9	14
12	9
8	5
7	5
6	9
10	8
11	3
8	5
7	3
6	5
7	3
7	3
6	3
7	4
5	3
6	5
6	4
7	3
6	6
7	5
8	4
7	6
7	5
6	4
7	4
9	7
10	8
10	5
9	5
9	4
9	4
8	3
8	4
8	3
7	4
9	6
10	5
12	4
8	10
10	3
8	3
8	5
9	4
11	12
18	36
38	23
25	21
21	24
23	16
19	14
16	20
20	21
24	20
24	16
23	21
26	25
29	26
31	25
29	29
31	34
34	40
39	46
44	48
45	52
49	45
48	48
46	38
32	27
24	26
25	25
21	18
16	14
13	9
12	10
12	9
11	14
13	10
12	9
14	20
22	20
19	10
10	9
9	4
5	6
6	7
6	6
7	7
7	5
5	3
2	3
3	8
6	6
6	3
5	8
7	14
9	12
11	21
14	3
5	7
6	4
5	7
6	8
7	9
6	9
7	8
8	7
8	8
12	9
10	14
14	16
17	18
20	20
22	20
23	35
31	33
27	10
11	22
19	24
29	36
37	34
35	35
36	35
39	37
35	33
31	28
27	27
26	27
25	18
17	20
21	12
14	32
28	17
24	25
29	25
31	26
29	35
40	45
46	42
40	26
27	30
31	29
32	31
36	44
46	45
43	48
45	52
45	32
26	19
16	8
9	9
10	6
8	8
11	6
8	5
8	5
11	8
16	8
13	8
12	6
11	6
11	7
11	5
11	9
12	6
11	8
11	8
11	8
11	10
11	6
11	7
7	4
5	12
10	9
8	8
6	10
8	9
8	7
5	5
2	3
1	7
3	6
4	7
5	6
12	7
10	8
9	6
8	7
7	3
9	5
6	9
7	8
7	10
8	11
10	8
8	7
6	5
6	5
5	3
5	4
5	3
4	3
5	3
5	13
11	5
8	6
8	8
9	10
11	20
19	18
20	23
22	20
20	14
17	19
19	21
20	25
22	26
24	29
25	32
26	28
24	32
24	41
30	26
22	26
23	26
20	29
23	35
28	27
17	21
14	21
15	24
18	25
19	39
28	35
31	31
29	33
31	45
37	35
34	36
33	39
34	38
34	40
35	39
34	41
36	48
43	50
45	54
53	58
54	59
54	64
58	76
70	86
80	86
81	102
94	97
94	90
90	81
72	68
59	72
64	73
69	78
70	73
69	83
85	92
100	84
76	88
77	94
88	97
97	95
98	99
97	85
77	90
83	70
57	60
46	33
24	13
10	11
9	8
8	7
7	8
8	13
10	8
8	7
7	11
8	10
10	8
11	12
13	9
10	8
11	5
7	8
9	7
9	7
9	6
7	7
7	6
8	8
9	7
9	7
9	7
9	5
8	3
7	6
8	6
8	10
10	9
11	10
9	6
8	7
9	6
10	7
10	4
10	8
12	11
16	11
15	9
13	8
11	7
10	11
13	20
23	18
17	18
20	19
22	17
19	17
20	19
24	33
34	23
21	18
20	18
18	18
19	22
24	31
34	38
33	29
33	35
36	38
37	38
36	38
36	37
34	14
15	12
15	10
14	12
14	11
14	12
15	9
13	22
19	8
13	6
10	7
9	8
9	8
9	9
9	10
9	4
7	4
8	9
11	11
10	9
10	13
11	8
9	6
7	7
6	5
7	8
9	9
9	8
10	6
9	4
9	9
11	11
13	34
27	26
27	20
20	28
26	40
36	51
49	48
49	46
47	54
55	63
64	67
64	64
62	78
72	63
58	60
56	71
66	69
62	58
52	54
51	47
40	7
8	11
10	14
13	10
11	5
9	15
11	12
10	5
6	7
7	5
7	6
8	8
12	7
14	19
22	18
21	27
26	25
26	28
26	31
31	29
28	36
40	45
43	38
34	36
32	30
29	26
23	16
16	20
19	30
24	25
25	29
30	32
31	46
53	64
68	95
104	95
98	107
110	121
124	108
109	95
98	83
71	77
60	80
73	75
66	57
50	64
56	60
53	57
50	43
36	36
30	18
15	8
11	9
10	8
11	9
10	11
12	11
15	13
13	18
19	24
28	13
15	11
13	15
17	16
16	14
13	14
14	10
11	12
13	12
11	10
11	15
15	15
15	20
21	24
26	21
23	60
63	60
63	42
40	41
41	42
43	45
47	46
53	41
45	42
44	60
67	56
57	48
43	38
33	33
27	27
25	19
15	20
19	22
20	19
19	17
17	16
16	12
14	7
12	8
15	6
13	6
12	6
11	7
10	8
10	5
9	6
9	4
7	8
9	7
8	10
10	6
8	5
7	7
10	6
6	8
12	7
15	6
9	6
10	7
11	10
13	18
20	19
20	33
29	40
39	48
46	48
48	45
44	41
41	43
43	46
45	45
46	50
48	51
44	47
39	39
31	34
26	26
20	14
10	8
5	4
2	5
3	6
5	5
9	4
9	9
14	12
16	18
21	20
19	17
19	18
18	19
20	23
23	32
33	34
33	38
37	39
40	50
51	51
51	48
48	48
47	50
47	48
46	52
51	48
45	47
44	48
45	57
55	60
58	83
75	43
44	52
39	73
80	100
93	94
89	90
85	94
89	96
93	114
107	116
105	116
106	114
102	113
96	99
84	97
87	56
45	57
50	60
52	76
66	114
116	112
103	90
72	94
84	99
91	114
110	116
110	126
126	134
131	147
147	154
154	163
163	158
152	163
154	161
153	166
159	170
164	169
164	161
149	166
156	153
137	104
80	102
94	126
118	131
120	111
97	121
112	153
159	227
233	246
241	238
224	227
215	226
214	216
199	212
197	214
199	214
199	215
201	218
206	221
212	222
209	224
216	228
219	234
228	229
218	225
217	231
218	229
201	221
190	166
131	114
89	35
29	12
18	19
18	16
17	17
18	20
19	15
18	18
18	17
16	15
17	15
16	7
12	6
9	9
11	8
12	8
14	8
13	14
18	12
17	13
17	18
21	20
26	25
28	23
27	41
40	47
51	38
39	42
42	37
39	42
44	48
53	67
65	59
58	60
58	74
72	63
52	37
28	41
29	43
33	33
24	36
24	17
10	16
8	14
6	13
6	10
6	11
7	11
7	11
8	14
13	13
14	19
19	36
34	58
58	72
74	77
77	66
61	57
49	43
33	31
26	31
26	34
30	41
36	45
42	57
54	66
61	50
38	31
20	30
19	26
16	18
10	16
8	25
15	21
12	15
16	11
15	15
9	10
7	14
8	10
4	6
0	4
8	3
6	4
5	7
7	10
9	6
5	7
6	6
5	9
6	12
9	9
7	8
7	10
8	10
9	13
11	12
10	12
13	10
5	4
3	14
8	17
13	16
12	16
11	19
20	19
18	16
14	10
11	11
10	10
12	10
9	9
11	9
3	7
2	6
1	10
3	9
4	12
5	12
5	12
6	7
5	8
6	11
9	13
13	15
15	25
28	20
23	24
25	29
27	23
19	18
16	16
17	19
19	19
23	23
23	24
25	17
23	19
26	38
35	43
43	41
36	21
19	8
7	13
16	11
11	7
9	8
9	5
7	7
9	8
9	7
10	11
12	9
7	12
8	12
9	9
8	8
9	6
9	8
12	5
14	14
20	18
24	26
29	29
31	41
39	48
47	60
58	54
64	68
72	56
55	57
54	56
52	53
48	47
42	42
41	44
44	53
53	48
46	44
39	34
31	20
22	19
19	20
20	26
23	25
23	20
18	20
17	18
16	13
12	13
13	15
14	24
19	16
15	17
17	20
16	26
21	22
20	19
18	15
17	14
16	10
14	9
15	11
18	12
21	10
19	8
17	10
15	4
13	7
13	7
12	8
10	5
8	5
6	5
7	6
8	4
8	3
8	4
8	3
8	6
10	7
12	7
12	8
14	11
14	8
13	7
11	9
13	7
14	14
14	4
10	4
10	3
9	7
9	3
8	3
7	3
8	6
8	5
8	4
7	6
8	3
7	4
7	3
6	4
6	4
6	5
6	6
7	6
7	5
8	9
9	7
10	8
11	8
10	4
9	3
8	6
9	6
8	6
8	7
7	6
7	9
7	4
6	6
5	5
6	3
5	6
6	7
6	6
6	8
7	6
6	6
6	11
8	6
7	8
8	5
7	5
8	7
10	8
12	8
14	12
19	20
25	29
34	30
30	30
34	40
38	60
51	66
62	63
60	21
27	19
17	22
21	19
18	24
24	17
20	26
28	36
36	44
44	42
41	41
39	45
42	48
49	54
48	111
107	119
122	123
120	129
125	132
124	126
121	94
82	81
75	76
68	65
53	42
31	28
19	31
23	42
38	48
47	38
38	30
27	31
27	36
35	45
42	47
46	53
53	81
83	153
160	190
205	194
198	200
199	197
194	212
213	201
186	193
177	198
184	198
184	201
189	193
173	173
157	176
162	174
161	178
172	190
165	191
159	184
169	190
164	114
101	60
39	44
40	35
31	29
29	121
113	97
83	89
76	72
59	46
40	24
20	14
12	10
10	11
12	13
14	11
15	9
6	15
10	14
13	9
11	20
18	17
20	22
24	29
29	25
30	26
31	31
37	39
43	54
56	54
61	59
62	62
61	48
48	63
68	71
65	68
58	57
50	48
40	50
47	40
52	45
58	45
64	44
63	38
57	40
52	38
55	32
35	26
26	25
28	29
33	30
39	36
47	48
63	42
59	54
70	59
78	65
77	66
77	69
81	54
57	54
56	65
71	66
71	65
67	64
69	65
70	63
67	64
66	71
75	77
79	73
74	69
66	43
34	18
15	7
10	10
12	6
11	6
11	6
10	12
16	6
12	10
12	13
16	13
16	14
16	16
18	9
13	9
13	13
15	15
16	11
12	12
19	19
25	75
61	21
32	35
31	64
60	62
63	74
73	86
88	118
128	135
146	144
155	138
145	137
136	141
149	136
138	112
108	101
95	96
86	100
96	92
81	92
80	79
73	73
67	67
60	68
62	54
46	50
46	37
32	15
17	20
21	33
34	71
72	96
94	141
142	155
144	170
161	168
153	90
65	23
13	19
16	23
22	30
28	32
31	19
18	10
9	14
13	13
16	11
16	16
20	28
31	54
59	63
64	70
70	67
66	51
50	39
39	28
28	24
24	19
21	23
23	27
26	31
31	23
24	19
19	24
25	29
32	35
40	41
43	41
43	35
38	34
32	29
29	32
34	34
34	36
37	39
41	43
45	46
46	41
42	39
42	40
43	41
43	41
42	39
41	41
42	41
40	41
42	44
43	50
50	51
49	48
46	54
50	58
55	50
44	29
23	14
9	13
8	13
5	12
14	8
11	5
11	10
13	6
14	8
15	8
13	7
13	5
12	5
11	8
12	10
12	4
11	7
11	5
10	6
11	6
10	5
10	6
10	7
10	5
11	5
10	5
9	3
9	7
11	7
12	8
12	7
12	6
12	7
12	7
12	10
13	11
16	32
32	37
36	26
26	5
11	6
11	5
7	5
10	3
10	5
11	6
10	5
11	11
13	10
13	8
10	5
9	3
9	8
12	7
13	8
16	15
22	28
31	33
33	17
22	16
17	18
12	14
10	18
12	10
8	10
7	11
6	8
4	5
2	7
4	7
5	5
4	7
5	8
5	8
7	9
7	3
8	13
11	7
11	7
12	6
11	6
10	7
10	6
10	5
10	13
14	9
11	9
9	5
7	5
7	6
7	6
8	8
9	9
10	9
11	10
13	48
44	60
53	53
47	40
39	42
38	38
35	40
35	40
36	42
38	60
55	77
70	71
64	68
65	71
71	91
85	92
89	103
97	92
83	66
52	63
52	60
53	56
48	60
52	60
54	68
68	81
77	86
82	89
84	89
85	95
90	97
91	92
87	97
90	105
95	97
86	59
43	6
2	8
8	7
8	7
8	10
9	6
10	8
10	9
11	6
10	13
13	9
14	4
12	5
11	4
13	9
16	9
15	6
15	9
17	10
19	5
21	10
26	4
17	7
17	7
17	8
17	8
16	7
14	6
13	8
13	7
14	5
11	7
10	5
9	8
11	9
11	10
12	5
10	10
12	9
12	4
10	9
13	10
16	7
14	12
16	12
17	13
17	13
18	6
8	5
9	6
8	8
10	10
13	10
13	11
15	10
12	8
11	8
11	8
10	11
12	9
13	15
14	10
13	10
13	10
14	12
15	10
13	8
14	6
9	6
9	8
11	6
12	6
11	9
12	9
15	13
18	15
22	17
23	18
25	15
21	14
15	14
16	13
16	15
19	21
23	19
25	19
26	20
27	22
28	29
34	38
39	48
45	50
47	48
46	47
44	46
46	60
54	52
46	38
31	30
26	29
27	26
27	28
31	38
33	43
37	48
41	42
34	32
29	33
30	29
28	27
27	24
24	16
18	14
15	9
11	6
8	6
8	9
9	10
10	8
9	8
7	8
8	7
6	7
7	5
6	6
6	6
7	7
7	7
7	7
8	13
10	11
11	7
9	5
8	9
10	8
10	11
11	12
12	13
10	12
10	13
10	12
11	13
13	9
10	11
9	10
9	8
8	7
8	10
9	8
10	8
8	9
10	11
10	5
8	5
6	4
7	8
8	10
9	6
8	7
9	4
7	7
7	4
6	5
6	4
5	5
6	5
7	7
8	7
8	9
10	9
8	6
8	9
10	19
19	23
21	28
25	25
23	32
26	30
26	30
25	30
23	28
24	25
23	26
25	28
28	23
18	20
16	19
15	8
6	5
6	3
4	3
5	4
4	4
6	6
5	7
6	7
7	5
6	5
6	4
5	7
7	9
9	8
9	7
8	8
9	8
9	8
10	7
8	5
11	9
8	10
10	8
9	5
9	5
10	7
11	7
13	11
15	7
12	7
10	7
11	11
13	11
16	18
22	34
36	38
38	33
32	50
45	72
60	80
71	71
65	76
70	89
86	90
84	82
77	77
73	85
81	92
89	84
82	94
86	88
72	92
75	92
75	74
54	86
63	58
40	19
16	11
11	4
8	6
9	8
12	9
9	8
10	8
10	9
11	8
12	6
10	10
12	11
12	6
10	8
11	8
15	11
9	10
10	10
16	6
13	9
14	9
12	12
16	14
19	60
57	76
71	94
87	117
100	133
131	130
114	33
43	50
46	53
55	57
60	60
67	58
65	90
95	106
103	105
106	103
95	101
90	97
84	90
77	91
76	77
70	77
67	74
62	75
69	74
65	59
51	36
31	17
22	14
21	6
18	9
17	13
19	16
22	9
17	11
16	10
15	10
14	11
14	11
13	14
12	9
11	8
10	11
11	9
14	9
12	11
14	14
15	11
14	13
14	10
12	5
11	5
11	10
12	12
15	11
14	9
14	7
13	4
12	8
13	7
14	9
15	8
16	7
16	9
17	9
17	13
17	9
15	10
14	11
15	10
14	6
13	7
13	8
13	9
14	15
18	12
16	7
16	8
16	7
16	11
18	14
19	8
16	8
16	11
18	14
23	15
31	13
24	12
24	12
24	9
21	9
17	13
19	6
18	6
16	6
15	4
12	6
11	7
11	4
10	10
12	7
12	7
10	9
15	14
19	14
20	12
19	13
19	19
22	18
24	28
32	25
28	27
30	29
29	33
30	22
23	22
18	18
14	14
12	17
15	22
22	40
39	50
51	70
69	79
77	82
78	82
80	90
86	90
86	85
83	102
98	102
93	117
102	130
114	121
87	114
92	116
91	84
61	44
36	18
16	7
6	3
1	4
3	3
1	5
5	5
5	9
13	10
12	10
12	11
11	6
10	12
12	12
14	11
9	8
6	12
9	17
12	11
6	10
4	8
3	8
3	11
5	6
1	7
3	5
2	6
2	7
5	8
6	6
7	13
16	12
13	15
20	26
28	37
34	50
47	52
51	52
53	63
65	78
78	109
112	195
207	278
306	183
176	178
154	226
218	298
284	263
231	214
167	145
108	126
93	78
56	34
27	17
17	16
15	14
14	17
15	12
14	11
13	11
13	7
11	6
13	7
9	13
14	17
19	18
22	29
28	42
40	54
51	130
110	84
84	71
60	73
69	60
52	65
58	65
58	72
63	66
61	70
59	74
84	71
71	91
82	87
85	82
78	83
80	82
77	95
84	101
89	104
90	109
99	112
96	114
101	117
106	121
115	126
117	123
113	116
104	108
101	108
101	118
112	116
108	123
156	125
139	123
103	114
112	121
113	126
158	118
89	117
157	114
122	118
99	121
129	124
115	129
127	153
140	132
112	106
117	102
104	95
81	92
91	102
123	104
78	91
84	87
83	114
125	129
165	132
140	139
161	154
172	167
143	174
177	182
169	181
172	184
175	190
180	190
176	142
211	138
62	145
139	163
153	154
135	157
140	156
140	121
180	86
40	20
8	16
7	12
11	7
12	12
17	8
10	8
12	12
14	11
13	10
14	16
17	12
15	10
15	12
15	17
17	41
42	60
48	54
52	64
47	48
39	38
33	34
28	23
24	13
16	15
20	29
28	65
58	47
44	46
47	54
52	42
39	37
36	35
35	32
33	34
35	31
34	28
29	12
17	8
13	7
13	6
13	3
11	11
16	5
8	9
15	10
14	10
15	9
15	7
16	10
16	11
17	10
14	13
18	18
20	20
22	12
17	12
17	19
22	27
26	20
22	18
22	21
25	17
23	16
18	16
21	18
23	27
29	33
31	27
24	20
19	12
12	24
24	12
16	14
18	44
41	54
47	40
33	33
26	9
15	12
16	9
10	5
7	4
9	44
39	71
57	66
59	42
46	37
40	33
35	29
30	25
24	23
22	22
21	16
16	19
18	18
17	16
16	16
17	17
18	21
21	25
24	25
26	28
29	32
32	28
29	23
25	19
21	19
19	17
18	19
18	21
20	21
22	23
23	30
28	32
31	27
29	27
27	38
37	39
36	39
35	43
40	52
47	60
56	72
64	78
72	91
87	92
94	101
101	103
101	100
95	97
93	94
90	100
95	102
96	95
88	91
79	92
82	103
99	106
96	105
98	112
104	132
165	140
149	137
121	135
132	135
128	142
134	139
131	134
125	137
172	136
107	142
141	146
136	161
166	176
174	183
181	190
184	201
197	185
172	240
231	238
226	236
215	248
233	178
144	150
181	156
210	163
295	166
277	170
284	170
286	158
115	157
203	152
156	141
78	139
123	134
117	120
105	92
84	97
88	92
85	88
82	92
85	97
91	105
127	107
118	103
121	100
89	106
107	109
106	111
104	114
108	121
116	130
124	124
117	118
115	123
115	123
113	114
92	54
35	12
18	8
11	9
13	3
11	11
13	3
11	4
6	7
11	6
9	8
10	7
11	9
13	14
15	11
14	4
10	6
11	6
14	11
17	20
23	25
28	33
33	32
34	34
35	30
33	35
34	41
39	54
48	69
62	71
65	65
61	60
55	62
57	59
56	53
51	54
53	50
53	58
53	62
58	78
71	83
78	89
85	82
82	77
76	83
79	95
90	92
92	103
97	111
108	134
135	139
134	159
152	184
183	187
176	183
172	160
149	149
135	133
120	133
120	128
118	139
131	155
150	169
169	185
184	191
185	194
185	195
186	201
190	201
187	204
191	195
186	195
183	212
216	221
218	219
206	217
211	178
159	65
39	47
32	26
23	22
15	17
13	15
16	74
80	168
168	99
97	74
84	71
81	60
70	64
73	60
71	52
66	46
58	42
52	38
46	38
43	39
45	38
43	39
43	41
46	44
47	45
49	43
52	51
57	52
56	50
54	47
51	44
47	48
53	87
84	64
64	77
67	59
55	48
39	44
42	48
46	53
49	57
52	57
53	32
31	36
30	34
31	42
35	37
34	39
35	33
31	37
31	38
32	41
36	41
35	47
38	54
45	62
55	63
56	65
55	66
54	56
53	51
46	48
43	42
35	39
34	38
32	40
35	38
31	33
28	31
27	26
25	27
26	31
29	26
25	25
22	27
24	30
27	33
30	30
26	37
33	39
37	39
37	45
39	51
46	54
50	54
50	57
53	50
47	58
62	58
49	56
54	60
53	64
57	65
55	62
50	52
41	36
28	41
29	38
27	22
16	16
9	14
10	13
9	13
11	14
14	11
15	14
16	16
17	19
22	28
27	42
39	89
71	83
71	99
90	90
82	75
70	65
59	63
59	62
56	64
58	65
60	70
64	69
63	70
62	58
58	52
49	60
57	62
58	74
69	83
77	91
85	107
102	117
105	126
116	131
127	142
144	147
155	153
153	149
143	138
118	145
129	161
144	146
121	144
125	144
133	146
139	137
130	146
138	149
143	153
135	154
127	148
137	136
119	130
117	144
133	165
169	164
154	142
123	125
108	113
101	102
91	88
78	69
60	45
40	40
37	27
29	29
27	37
34	29
31	30
31	30
32	37
39	48
58	52
51	62
63	62
60	60
58	57
53	59
56	59
55	60
56	60
56	66
63	72
73	87
89	103
103	101
97	77
76	75
71	76
75	78
80	82
79	84
82	78
75	85
83	84
79	82
78	84
81	87
87	95
92	108
104	119
115	135
129	147
145	169
168	180
218	178
185	182
200	187
166	202
210	209
200	216
208	218
209	218
207	216
209	219
212	234
228	222
205	208
199	194
177	195
188	197
191	201
192	217
211	221
205	229
213	246
236	253
243	262
255	266
260	279
273	280
273	278
266	279
264	284
266	291
273	294
274	295
274	295
271	297
273	317
294	344
320	359
