,PM2.5,PM10,NO2,CO,O3,SO2,temperature,pressure,humidity,wind_direction,wind_speed/kph
2017-01-02 08:00:00,260.0,282.0,115.0,3.900000095367432,56.0,18.0,32.13,115.63999999999999,35.13,169.88,7.25
2017-01-02 09:00:00,212.0,211.0,112.0,3.5999999046325684,50.0,14.0,30.07,115.41999999999996,41.82,174.8,8.47
2017-01-02 10:00:00,183.0,198.0,111.0,0.30000001192092896,33.0,14.0,29.37,115.42999999999995,46.4,179.91,7.51
2017-01-02 11:00:00,136.0,168.0,89.0,2.299999952316284,41.0,14.0,28.67,115.44000000000005,50.98,186.45,6.62
2017-01-02 12:00:00,137.0,165.0,89.0,2.200000047683716,35.0,13.0,27.97,115.45000000000005,55.56,194.88,5.84
2017-01-02 13:00:00,125.0,143.0,90.0,2.0999999046325684,28.0,13.0,27.68,115.05999999999995,58.68,190.94,5.5
2017-01-02 14:00:00,153.0,189.0,108.0,2.5,13.0,14.0,27.39,114.66999999999996,61.8,186.52,5.2
2017-01-02 15:00:00,165.0,197.0,126.0,3.0999999046325684,2.0,14.0,27.1,114.27999999999997,64.93,181.58,4.92
2017-01-02 16:00:00,225.0,271.0,148.0,4.900000095367432,4.0,23.0,26.84,114.14999999999998,65.45,165.12,4.02
2017-01-02 17:00:00,275.0,323.0,158.0,6.4000000953674325,7.0,28.0,26.59,114.02999999999997,65.97,142.34,3.6
2017-01-02 18:00:00,293.0,325.0,155.0,6.4000000953674325,5.0,17.0,26.34,113.89999999999998,66.49,118.34,3.83
2017-01-02 19:00:00,293.0,330.0,153.0,6.199999809265138,5.0,16.0,26.13,113.62,67.77,108.82,3.85
2017-01-02 20:00:00,287.0,323.0,149.0,6.300000190734862,4.0,15.0,25.92,113.35000000000002,69.05,99.64,3.97
2017-01-02 21:00:00,305.0,346.0,149.0,0.6000000238418579,4.0,13.0,25.72,113.07000000000005,70.33,91.21,4.19
2017-01-02 22:00:00,304.0,346.0,148.0,5.800000190734862,3.0,12.0,25.62,113.04999999999995,70.53,89.22,2.57
2017-01-02 23:00:00,266.0,306.0,139.0,5.699999809265138,3.0,12.0,25.52,113.01999999999998,70.74,80.69,0.98
2017-01-03 00:00:00,240.0,288.0,132.0,5.699999809265138,3.0,17.0,25.43,112.99000000000001,70.94,293.45,0.71
2017-01-03 01:00:00,237.0,275.0,131.0,6.5,4.0,29.0,28.3,112.99000000000001,59.64,299.07,1.42
2017-01-03 02:00:00,232.0,248.0,117.0,5.400000095367432,7.0,32.0,31.16,112.98000000000002,48.34,300.94,2.13
2017-01-03 03:00:00,155.0,163.0,88.0,3.0999999046325684,19.0,27.0,34.03,112.97000000000003,37.04,301.87,2.84
2017-01-03 04:00:00,167.0,183.0,98.0,3.2000000476837163,25.0,31.0,35.6,112.48000000000002,33.44,310.93,2.96
2017-01-03 05:00:00,170.0,187.0,100.0,0.30000001192092896,35.0,28.0,37.16,111.98000000000002,29.84,319.13,3.14
2017-01-03 06:00:00,179.0,203.0,127.0,3.400000095367432,26.0,27.0,38.72,111.49000000000001,26.24,326.3,3.38
2017-01-03 07:00:00,244.0,295.0,183.0,4.699999809265137,15.0,28.0,35.89,111.46000000000004,35.54,287.87,2.04
2017-01-03 08:00:00,296.0,334.0,190.0,5.1,16.0,26.0,33.06,111.42999999999995,44.84,232.08,2.54
2017-01-03 10:00:00,328.0,356.0,191.0,5.760000228881836,3.0,13.0,29.75,111.97000000000003,53.58,229.53,3.58
2017-01-03 11:00:00,397.0,420.0,199.0,0.7,3.0,20.0,29.28,112.53999999999996,53.03,255.15,3.49
2017-01-03 12:00:00,437.0,448.0,199.0,7.5,2.0,16.0,28.81,113.12,52.48,277.54,4.06
2017-01-03 13:00:00,464.0,486.0,195.0,7.7,2.0,13.0,28.53,113.45000000000005,55.15,260.78,2.92
2017-01-03 14:00:00,483.0,519.0,200.0,8.199999809265138,3.0,12.0,28.25,113.78999999999996,57.82,229.75,2.27
2017-01-03 15:00:00,447.0,476.0,196.0,8.7,3.0,11.0,27.97,114.13,60.5,193.39,2.54
2017-01-03 16:00:00,440.0,493.0,188.0,8.9,2.0,10.0,27.84,114.29999999999995,64.22,158.7,0.98
2017-01-03 17:00:00,463.0,502.0,190.0,8.6,2.0,9.0,27.71,114.46000000000004,67.95,63.34,1.45
2017-01-03 19:00:00,463.0,504.0,193.0,9.6,2.0,11.0,27.38,114.65999999999997,71.24,56.58,3.4
2017-01-03 20:00:00,473.0,539.0,195.0,9.7,2.0,11.0,27.17,114.70000000000005,70.79,65.93,3.77
2017-01-03 21:00:00,488.0,561.0,180.0,9.9,3.0,10.0,26.97,114.73000000000002,70.35,73.46,4.22
2017-01-03 22:00:00,500.0,506.0,196.0,10.1,4.0,12.0,26.77,114.98000000000002,71.49,88.25,3.45
2017-01-03 23:00:00,392.0,431.0,158.0,7.5,2.0,12.0,26.57,115.22000000000003,72.64,109.19,3.01
2017-01-04 00:00:00,338.0,350.0,149.0,7.199999809265138,2.0,15.0,26.37,115.47000000000003,73.79,132.88,3.07
2017-01-04 01:00:00,338.0,342.0,156.0,7.3,3.0,14.0,29.12,115.75999999999999,60.56,136.09,3.85
2017-01-04 02:00:00,441.0,469.0,208.0,9.2,4.0,18.0,31.86,116.03999999999996,47.33,138.2,4.65
2017-01-04 03:00:00,333.0,352.0,154.0,5.599999904632568,9.0,27.0,34.6,116.33000000000004,34.09,139.7,5.45
2017-01-04 04:00:00,167.0,181.0,107.0,3.400000095367432,17.0,30.0,35.230000000000004,115.85000000000002,33.56,134.51,6.28
2017-01-04 05:00:00,216.0,263.0,131.0,0.4000000059604645,27.0,31.0,35.86,115.37,33.02,130.55,7.15
2017-01-04 06:00:00,291.0,317.0,167.0,4.900000095367432,23.0,31.0,36.480000000000004,114.88999999999999,32.48,127.47,8.05
2017-01-04 07:00:00,325.0,331.0,179.0,6.1,20.0,37.0,34.26,115.16999999999996,41.26,118.61,7.36
2017-01-04 08:00:00,367.0,383.0,179.0,7.0999999046325675,16.0,43.0,32.03,115.45000000000005,50.03,108.23,6.88
2017-01-04 09:00:00,322.0,352.0,179.0,6.800000190734862,7.0,40.0,29.81,115.73000000000002,58.8,96.74,6.65
2017-01-04 10:00:00,298.0,337.0,175.0,6.5999999046325675,2.0,29.0,29.21,116.14999999999998,58.74,84.98,5.68
2017-01-04 11:00:00,304.0,337.0,176.0,6.800000190734862,2.0,26.0,28.62,116.55999999999995,58.67,69.34,5.03
2017-01-04 12:00:00,346.0,356.0,186.0,0.8000000119209291,2.0,18.0,28.03,116.98000000000002,58.61,50.89,4.84
2017-01-04 13:00:00,356.0,370.0,180.0,8.300000190734862,2.0,14.0,27.85,117.29999999999995,59.71,50.23,4.69
2017-01-04 14:00:00,380.0,431.0,164.0,9.100000381469727,2.0,10.0,27.67,117.63,60.81,49.54,4.55
2017-01-04 15:00:00,328.0,350.0,134.0,8.399999618530272,2.0,8.0,27.5,117.95000000000005,61.91,48.79,4.41
2017-01-04 16:00:00,203.0,222.0,114.0,7.199999809265138,2.0,7.0,27.44,118.13999999999999,63.88,54.33,3.96
2017-01-04 17:00:00,168.0,183.0,112.0,7.0999999046325675,2.0,9.0,27.38,118.32000000000005,65.85,61.21,3.55
2017-01-04 18:00:00,159.0,179.0,114.0,5.699999809265138,2.0,5.0,27.32,118.50999999999999,67.83,69.68,3.21
2017-01-04 19:00:00,168.0,192.0,114.0,4.800000190734863,2.0,5.0,27.02,118.79999999999995,72.8,70.26,2.78
2017-01-04 20:00:00,175.0,192.0,114.0,4.800000190734863,6.0,6.0,26.72,119.08000000000004,77.77,71.05,2.35
2017-01-04 21:00:00,256.0,360.0,126.0,7.4,2.0,6.0,26.41,119.37,82.75,72.2,1.92
2017-01-04 22:00:00,336.0,401.0,133.0,8.7,2.0,6.0,26.9,119.88999999999999,78.3,42.68,1.6
2017-01-04 23:00:00,284.0,324.0,132.0,8.2,2.0,7.0,27.38,120.41999999999996,73.86,11.01,1.8
2017-01-05 00:00:00,275.0,304.0,133.0,7.9000000953674325,2.0,9.0,27.86,120.94000000000005,69.42,350.43,2.4
2017-01-05 01:00:00,271.0,306.0,135.0,7.699999809265138,2.0,11.0,29.13,121.05999999999995,64.23,3.78,2.21
2017-01-05 02:00:00,276.0,304.0,134.0,7.5999999046325675,2.0,12.0,30.4,121.17999999999995,59.03,18.56,2.17
2017-01-05 03:00:00,267.0,306.0,132.0,7.4000000953674325,2.0,11.0,31.67,121.30999999999995,53.83,32.98,2.27
2017-01-05 04:00:00,249.0,288.0,129.0,0.699999988079071,2.0,11.0,32.19,120.85000000000002,52.71,77.85,2.1
2017-01-05 05:00:00,239.0,280.0,121.0,0.6000000238418579,3.0,12.0,32.71,120.39999999999998,51.6,109.45,3.05
2017-01-05 06:00:00,223.0,236.0,112.0,5.300000190734863,6.0,13.0,33.23,119.95000000000005,50.48,123.79,4.45
2017-01-05 07:00:00,206.0,224.0,105.0,4.5,10.0,15.0,31.43,119.87,56.5,121.64,4.62
2017-01-05 08:00:00,162.0,178.0,96.0,3.7999999523162837,13.0,20.0,29.64,119.78999999999996,62.53,119.64,4.79
2017-01-05 09:00:00,184.0,202.0,110.0,4.099999904632568,3.0,21.0,27.84,119.71000000000004,68.55,117.79,4.96
2017-01-05 10:00:00,183.0,219.0,119.0,4.099999904632568,2.0,21.0,27.45,119.92999999999995,69.46,124.88,4.28
2017-01-05 11:00:00,191.0,199.0,122.0,4.5,2.0,20.0,27.06,120.13999999999999,70.37,134.47,3.68
2017-01-05 12:00:00,219.0,245.0,126.0,5.199999809265137,2.0,17.0,26.66,120.36000000000001,71.27,147.26,3.22
2017-01-05 13:00:00,199.0,234.0,122.0,4.699999809265137,2.0,16.0,26.69,120.17999999999995,74.62,165.5,3.53
2017-01-05 14:00:00,180.0,199.0,116.0,4.400000095367432,2.0,15.0,26.71,120.00999999999999,77.96,179.62,4.13
2017-01-05 15:00:00,184.0,201.0,116.0,4.900000095367432,2.0,12.0,26.73,119.83000000000004,81.31,189.73,4.91
2017-01-05 16:00:00,184.0,196.0,111.0,5.300000190734863,2.0,10.0,26.4,119.57000000000005,82.94,182.94,3.84
2017-01-05 17:00:00,184.0,196.0,111.0,0.5,2.0,10.0,26.07,119.30999999999995,84.57,171.3,2.88
2017-01-05 18:00:00,176.0,187.0,103.0,4.599999904632568,2.0,12.0,25.740000000000002,119.04999999999995,86.2,149.99,2.13
2017-01-05 19:00:00,159.0,172.0,98.0,3.7999999523162837,2.0,14.0,25.58,118.75999999999999,86.27,125.04,2.01
2017-01-05 20:00:00,158.0,169.0,100.0,3.900000095367432,6.0,18.0,25.42,118.48000000000002,86.34,101.62,2.26
2017-01-05 21:00:00,171.0,182.0,101.0,4.300000190734863,2.0,20.0,25.27,118.20000000000005,86.4,85.11,2.8
2017-01-05 22:00:00,169.0,182.0,100.0,4.5,2.0,20.0,25.25,118.21000000000004,86.57,86.79,2.57
2017-01-05 23:00:00,177.0,185.0,94.0,4.5,2.0,24.0,25.240000000000002,118.22000000000003,86.73,88.81,2.34
2017-01-06 00:00:00,170.0,182.0,94.0,4.199999809265137,2.0,26.0,25.23,118.23000000000002,86.9,91.26,2.12
2017-01-06 01:00:00,175.0,181.0,97.0,4.900000095367432,2.0,30.0,27.44,118.10000000000002,77.04,113.32,2.46
2017-01-06 02:00:00,211.0,240.0,105.0,5.699999809265138,2.0,31.0,29.65,117.98000000000002,67.18,128.39,3.06
2017-01-06 03:00:00,216.0,241.0,101.0,4.900000095367432,6.0,29.0,31.87,117.85000000000002,57.32,138.09,3.8
2017-01-06 04:00:00,193.0,215.0,92.0,0.4000000059604645,16.0,29.0,32.63,117.02999999999997,55.89,140.24,4.2
2017-01-06 05:00:00,188.0,194.0,88.0,3.7999999523162837,25.0,31.0,33.4,116.21000000000004,54.46,142.02,4.61
2017-01-06 06:00:00,200.0,241.0,113.0,4.099999904632568,16.0,33.0,34.17,115.38999999999999,53.02,143.5,5.03
2017-01-06 07:00:00,214.0,254.0,130.0,4.300000190734863,10.0,31.0,32.21,115.13999999999999,63.2,137.59,4.95
2017-01-06 08:00:00,215.0,252.0,131.0,2.700000047683716,5.0,27.0,30.25,114.88999999999999,73.37,131.56,4.93
2017-01-06 09:00:00,221.0,258.0,139.0,4.199999809265137,2.0,21.0,28.3,114.64999999999998,83.55,125.55,4.97
2017-01-06 10:00:00,211.0,255.0,140.0,4.300000190734863,2.0,17.0,27.86,114.76999999999998,84.48,119.2,4.04
2017-01-06 11:00:00,217.0,263.0,146.0,4.400000095367432,2.0,17.0,27.42,114.89999999999998,85.41,109.28,3.19
2017-01-06 12:00:00,220.0,266.0,152.0,4.199999809265137,2.0,22.0,26.98,115.01999999999998,86.34,93.14,2.5
2017-01-06 13:00:00,235.0,281.0,157.0,0.5,2.0,24.0,26.88,114.95000000000005,86.4,90.66,2.5
2017-01-06 14:00:00,239.0,274.0,153.0,4.800000190734863,2.0,25.0,26.79,114.88,86.47,88.18,2.51
2017-01-06 15:00:00,235.0,264.0,126.0,4.900000095367432,2.0,31.0,26.7,114.79999999999995,86.53,85.71,2.51
2017-01-06 16:00:00,241.0,268.0,123.0,5.300000190734863,2.0,38.0,26.5,114.72000000000003,86.8,74.91,2.22
2017-01-06 17:00:00,239.0,268.0,120.0,5.099999904632568,2.0,45.0,26.31,114.63,87.07,61.46,2.03
2017-01-06 18:00:00,224.0,253.0,116.0,0.5,2.0,39.0,26.12,114.54999999999995,87.33,46.22,1.96
2017-01-06 19:00:00,208.0,240.0,105.0,4.400000095367432,2.0,31.0,26.08,114.33000000000004,87.27,32.76,2.12
2017-01-06 20:00:00,206.0,217.0,91.0,3.7999999523162837,22.0,26.0,26.05,114.12,87.21,21.65,2.37
2017-01-06 21:00:00,200.0,217.0,96.0,3.900000095367432,2.0,25.0,26.009999999999998,113.90999999999997,87.15,12.95,2.7
2017-01-06 22:00:00,181.0,203.0,87.0,3.2999999523162837,2.0,24.0,26.09,114.02999999999997,86.75,7.34,2.75
2017-01-06 23:00:00,173.0,184.0,86.0,3.5,2.0,21.0,26.16,114.13999999999999,86.36,1.99,2.83
2017-01-07 00:00:00,166.0,186.0,82.0,3.400000095367432,2.0,17.0,26.23,114.25999999999999,85.96,356.95,2.93
2017-01-07 01:00:00,154.0,182.0,82.0,3.0999999046325684,2.0,20.0,28.73,114.16999999999996,76.09,355.59,3.65
2017-01-07 02:00:00,142.0,151.0,73.0,0.30000001192092896,4.0,21.0,31.22,114.07000000000005,66.22,354.67,4.37
2017-01-07 03:00:00,167.0,186.0,77.0,3.2000000476837163,9.0,24.0,33.72,113.98000000000002,56.35,354.02,5.09
2017-01-07 04:00:00,196.0,215.0,83.0,3.400000095367432,12.0,24.0,34.04,113.69000000000005,57.29,19.93,4.2
2017-01-07 05:00:00,184.0,192.0,75.0,0.30000001192092896,15.0,17.0,34.36,113.39999999999998,58.23,50.16,4.42
2017-01-07 06:00:00,156.0,176.0,68.0,2.5999999046325684,11.0,10.0,34.68,113.12,59.17,72.23,5.62
2017-01-07 07:00:00,115.0,127.0,65.0,2.200000047683716,7.0,8.0,33.27,113.19000000000005,67.67,87.56,5.81
2017-01-07 08:00:00,99.0,113.0,73.0,2.0999999046325684,2.0,9.0,31.85,113.25999999999999,76.16,101.08,6.36
2017-01-07 09:00:00,95.0,119.0,67.0,1.8999999761581416,13.0,8.0,30.44,113.33000000000004,84.66,111.92,7.21
2017-01-07 10:00:00,102.0,120.0,83.0,2.0999999046325684,3.0,7.0,29.16,113.57000000000005,87.33,114.09,5.43
2017-01-07 11:00:00,96.0,121.0,71.0,1.8999999761581416,7.0,6.0,27.88,113.79999999999995,90.0,118.34,3.66
2017-01-07 12:00:00,100.0,121.0,82.0,2.200000047683716,2.0,7.0,26.6,114.03999999999996,92.66,130.23,1.96
2017-01-07 13:00:00,111.0,125.0,83.0,2.5,2.0,7.0,26.52,113.98000000000002,91.08,195.33,0.74
2017-01-07 14:00:00,93.0,117.0,80.0,0.20000000298023224,2.0,12.0,26.44,113.90999999999997,89.49,265.23,1.89
2017-01-07 15:00:00,78.0,106.0,77.0,1.8999999761581416,2.0,18.0,26.36,113.85000000000002,87.9,276.33,3.59
2017-01-07 16:00:00,66.0,114.0,79.0,0.20000000298023224,2.0,18.0,26.48,113.64999999999998,80.51,289.05,4.95
2017-01-07 17:00:00,66.0,85.0,66.0,1.2999999523162842,6.0,19.0,26.6,113.45000000000005,73.12,296.11,6.44
2017-01-07 18:00:00,22.0,39.0,38.0,0.5,29.0,15.0,26.72,113.25,65.73,300.47,7.99
2017-01-07 19:00:00,23.0,47.0,41.0,0.4000000059604645,25.0,12.0,26.63,113.22000000000003,63.22,305.17,8.57
2017-01-07 20:00:00,19.0,44.0,33.0,0.4000000059604645,44.0,11.0,26.54,113.17999999999995,60.71,309.25,9.2
2017-01-07 21:00:00,24.0,49.0,34.0,0.4000000059604645,33.0,10.0,26.44,113.14999999999998,58.2,312.8,9.87
2017-01-07 22:00:00,16.0,30.0,25.0,0.4000000059604645,45.0,9.0,26.38,113.07000000000005,58.35,313.63,9.92
2017-01-07 23:00:00,15.0,30.0,25.0,0.4000000059604645,46.0,9.0,26.32,112.99000000000001,58.49,314.44,9.97
2017-01-08 00:00:00,18.0,30.0,28.0,0.5,45.0,10.0,26.25,112.91999999999996,58.64,315.25,10.02
2017-01-08 01:00:00,20.0,40.0,29.0,0.5,45.0,12.0,28.52,112.72000000000003,48.92,314.51,10.63
2017-01-08 02:00:00,15.0,42.0,27.0,0.5,52.0,13.0,30.78,112.50999999999999,39.2,313.85,11.24
2017-01-08 03:00:00,22.0,49.0,25.0,0.5,57.0,15.0,33.04,112.30999999999995,29.48,313.26,11.85
2017-01-08 04:00:00,18.0,46.0,22.0,0.5,63.0,15.0,34.01,111.64999999999998,28.35,313.9,13.47
2017-01-08 05:00:00,28.0,68.0,20.0,0.5,68.0,12.0,34.99,110.99000000000001,27.22,314.4,15.1
2017-01-08 06:00:00,22.0,55.0,19.0,0.5,73.0,10.0,35.96,110.33000000000004,26.09,314.81,16.72
2017-01-08 07:00:00,17.0,47.0,19.0,0.4000000059604645,75.0,9.0,34.42,110.48000000000002,29.66,313.8,15.33
2017-01-08 08:00:00,14.0,41.0,18.0,0.30000001192092896,79.0,8.0,32.87,110.63,33.22,312.58,13.93
2017-01-08 09:00:00,13.0,28.0,23.0,0.30000001192092896,75.0,8.0,31.33,110.77999999999997,36.78,311.1,12.55
2017-01-08 10:00:00,14.0,18.0,28.0,0.4000000059604645,69.0,8.0,30.49,111.33000000000004,39.48,313.65,12.43
2017-01-08 11:00:00,15.0,66.0,41.0,0.5,53.0,10.0,29.66,111.87,42.17,316.24,12.33
2017-01-08 12:00:00,21.0,65.0,46.0,0.6000000238418579,48.0,12.0,28.83,112.41999999999996,44.86,318.87,12.25
2017-01-08 13:00:00,15.0,36.0,39.0,0.5,50.0,11.0,28.5,113.10000000000002,46.35,321.66,12.24
2017-01-08 14:00:00,13.0,42.0,25.0,0.30000001192092896,65.0,7.0,28.17,113.77999999999997,47.84,324.45,12.25
2017-01-08 15:00:00,10.0,21.0,27.0,0.30000001192092896,59.0,7.0,27.85,114.47000000000003,49.34,327.23,12.29
2017-01-08 16:00:00,10.0,23.0,33.0,0.30000001192092896,50.0,6.0,27.509999999999998,115.27999999999997,49.29,329.59,12.57
2017-01-08 17:00:00,8.0,26.0,33.0,0.20000000298023224,45.0,5.0,27.16,116.10000000000002,49.24,331.85,12.86
2017-01-08 18:00:00,9.0,22.0,36.0,0.30000001192092896,39.0,4.0,26.82,116.90999999999997,49.19,334.0,13.17
2017-01-08 19:00:00,11.0,34.0,32.0,0.30000001192092896,42.0,5.0,26.509999999999998,117.15999999999997,48.9,334.02,13.42
2017-01-08 20:00:00,6.0,37.0,20.0,0.30000001192092896,64.0,4.0,26.21,117.40999999999997,48.61,334.03,13.67
2017-01-08 21:00:00,6.0,22.0,28.0,0.20000000298023224,49.0,4.0,25.9,117.65999999999997,48.32,334.05,13.91
2017-01-08 22:00:00,10.0,26.0,27.0,0.30000001192092896,50.0,3.0,25.55,117.76999999999998,48.85,335.62,12.95
2017-01-08 23:00:00,11.0,30.0,30.0,0.30000001192092896,45.0,3.0,25.2,117.88999999999999,49.37,337.44,12.0
2017-01-09 00:00:00,9.0,24.0,35.0,0.4000000059604645,39.0,6.0,24.84,118.0,49.9,339.58,11.06
2017-01-09 01:00:00,16.0,33.0,28.0,0.4000000059604645,47.0,6.0,26.490000000000002,117.88,43.5,341.84,9.36
2017-01-09 02:00:00,13.0,33.0,23.0,0.5,54.0,7.0,28.14,117.75999999999999,37.11,345.11,7.68
2017-01-09 03:00:00,12.0,26.0,20.0,0.4000000059604645,60.0,6.0,29.79,117.63999999999999,30.71,350.17,6.04
2017-01-09 05:00:00,7.0,35.0,20.0,0.4000000059604645,65.0,4.0,31.61,115.69000000000005,26.65,211.17,2.88
2017-01-09 06:00:00,15.0,34.0,34.0,0.5,56.0,4.0,32.52,114.72000000000003,24.62,194.47,6.9
2017-01-09 07:00:00,17.0,43.0,34.0,0.5,58.0,6.0,31.2,114.25,29.15,192.51,8.35
2017-01-09 08:00:00,34.0,70.0,38.0,0.699999988079071,60.0,9.0,29.88,113.77999999999997,33.68,191.13,9.82
2017-01-09 09:00:00,37.0,50.0,55.0,0.9,38.0,7.0,28.55,113.30999999999995,38.22,190.11,11.29
2017-01-09 10:00:00,50.0,62.0,59.0,0.8,31.0,7.0,27.9,113.46000000000004,40.75,204.04,9.64
2017-01-09 11:00:00,62.0,79.0,63.0,1.1,30.0,5.0,27.25,113.61000000000001,43.27,222.14,8.75
2017-01-09 12:00:00,87.0,114.0,78.0,1.3,17.0,5.0,26.59,113.75,45.8,241.89,8.86
2017-01-09 13:00:00,114.0,126.0,86.0,1.6,10.0,5.0,26.57,114.37,44.91,259.39,7.94
2017-01-09 14:00:00,127.0,132.0,91.0,1.7,4.0,5.0,26.56,114.98000000000002,44.03,279.13,7.89
2017-01-09 15:00:00,120.0,147.0,95.0,1.7999999523162842,2.0,5.0,26.54,115.60000000000002,43.15,297.02,8.73
2017-01-09 16:00:00,51.0,105.0,89.0,1.3,2.0,13.0,26.2,116.25999999999999,43.2,312.14,8.81
2017-01-09 17:00:00,70.0,122.0,96.0,1.7999999523162842,2.0,16.0,25.86,116.91999999999996,43.26,326.05,9.46
2017-01-09 18:00:00,19.0,49.0,44.0,0.6000000238418579,34.0,4.0,25.52,117.59000000000003,43.32,337.58,10.59
2017-01-09 19:00:00,7.0,7.0,17.0,0.2,61.0,2.0,25.04,118.33000000000004,44.49,340.82,9.98
2017-01-09 20:00:00,5.0,20.0,29.0,0.3,35.0,3.0,24.56,119.07000000000005,45.66,344.49,9.4
2017-01-09 21:00:00,10.0,23.0,43.0,0.30000001192092896,35.0,5.0,24.08,119.80999999999995,46.83,348.61,8.86
2017-01-09 22:00:00,10.0,24.0,33.0,0.30000001192092896,44.0,3.0,23.91,120.25999999999999,46.29,347.2,8.9
2017-01-09 23:00:00,11.0,23.0,27.0,0.30000001192092896,52.0,5.0,23.740000000000002,120.72000000000003,45.76,345.81,8.93
2017-01-10 00:00:00,8.0,26.0,34.0,0.30000001192092896,45.0,4.0,23.58,121.17999999999995,45.22,344.42,8.98
2017-01-10 01:00:00,3.0,6.0,35.0,0.4,46.0,5.0,25.61,121.21000000000004,37.43,330.58,11.57
2017-01-10 02:00:00,6.0,33.0,24.0,0.30000001192092896,60.0,3.0,27.63,121.23000000000002,29.64,322.12,14.59
2017-01-10 03:00:00,3.0,6.0,12.0,0.3,73.0,2.0,29.66,121.25,21.85,316.63,17.81
2017-01-10 04:00:00,3.0,6.0,9.0,0.2,78.0,2.0,30.53,120.73000000000002,20.0,311.6,18.36
2017-01-10 05:00:00,3.0,6.0,6.0,0.3,63.0,2.0,31.41,120.21000000000004,18.16,306.89,19.03
2017-01-10 06:00:00,3.0,6.0,6.0,0.18000000715255735,69.0,2.0,32.28,119.69000000000005,16.32,302.54,19.83
2017-01-10 09:00:00,7.0,9.0,19.0,0.4,57.0,4.0,26.58,118.44000000000005,29.21,260.05,5.22
2017-01-10 10:00:00,8.0,17.0,34.0,0.5,48.0,5.0,26.41,118.64999999999998,31.0,254.71,6.03
2017-01-10 11:00:00,13.0,50.0,59.0,0.7,27.0,7.0,26.23,118.86000000000001,32.78,250.66,6.88
2017-01-10 12:00:00,81.0,108.0,88.0,1.3,15.0,15.0,26.06,119.05999999999995,34.57,247.52,7.76
2017-01-10 13:00:00,91.0,98.0,96.0,1.4,13.0,13.0,25.55,119.01999999999998,35.85,260.6,6.65
2017-01-10 14:00:00,84.0,103.0,94.0,1.5,11.0,13.0,25.04,118.98000000000002,37.13,277.59,6.01
2017-01-10 15:00:00,87.0,103.0,95.0,1.5,10.0,19.0,24.53,118.94000000000005,38.41,296.56,5.98
2017-01-10 16:00:00,91.0,105.0,95.0,1.6,11.0,34.0,24.18,118.74000000000001,39.13,301.25,5.57
2017-01-10 17:00:00,94.0,105.0,93.0,1.8,12.0,42.0,23.83,118.54999999999995,39.85,306.64,5.2
2017-01-10 18:00:00,97.0,102.0,89.0,1.6,13.0,42.0,23.490000000000002,118.35000000000002,40.58,312.8,4.88
2017-01-10 19:00:00,112.0,150.0,104.0,3.1,14.0,29.0,23.15,118.05999999999995,41.27,312.75,4.5
